TP = 46
NF1 = 4
NC1 = 6
NF2 = 6
NC2 = 3
NR = 156
NP = 14
[M1-0-0], 0, 0
[M2-0-0], 2, 4
[M1-0-1], 0, 4
[M2-1-0], 2, 28
[M1-0-2], 0, 8
[M2-2-0], 3, 6
[M1-0-3], 0, 12
[M2-3-0], 3, 30
[M1-0-4], 0, 16
[M2-4-0], 4, 8
[M1-0-5], 0, 20
[M2-5-0], 4, 32
[M3-0-0], 3, 30
[M1-0-0], 0, 0
[M2-0-1], 2, 8
[M1-0-1], 0, 4
[M2-1-1], 2, 32
[M1-0-2], 0, 8
[M2-2-1], 3, 10
[M1-0-3], 0, 12
[M2-3-1], 3, 34
[M1-0-4], 0, 16
[M2-4-1], 4, 12
[M1-0-5], 0, 20
[M2-5-1], 4, 36
[M3-0-1], 3, 34
[M1-0-0], 0, 0
[M2-0-2], 2, 12
[M1-0-1], 0, 4
[M2-1-2], 2, 36
[M1-0-2], 0, 8
[M2-2-2], 3, 14
[M1-0-3], 0, 12
[M2-3-2], 3, 38
[M1-0-4], 0, 16
[M2-4-2], 4, 16
[M1-0-5], 0, 20
[M2-5-2], 4, 40
[M3-0-2], 3, 38
[M1-1-0], 0, 24
[M2-0-0], 2, 4
[M1-1-1], 0, 28
[M2-1-0], 2, 28
[M1-1-2], 0, 32
[M2-2-0], 3, 6
[M1-1-3], 0, 36
[M2-3-0], 3, 30
[M1-1-4], 0, 40
[M2-4-0], 4, 8
[M1-1-5], 0, 44
[M2-5-0], 4, 32
[M3-1-0], 4, 8
[M1-1-0], 0, 24
[M2-0-1], 2, 8
[M1-1-1], 0, 28
[M2-1-1], 2, 32
[M1-1-2], 0, 32
[M2-2-1], 3, 10
[M1-1-3], 0, 36
[M2-3-1], 3, 34
[M1-1-4], 0, 40
[M2-4-1], 4, 12
[M1-1-5], 0, 44
[M2-5-1], 4, 36
[M3-1-1], 4, 12
[M1-1-0], 0, 24
[M2-0-2], 2, 12
[M1-1-1], 0, 28
[M2-1-2], 2, 36
[M1-1-2], 0, 32
[M2-2-2], 3, 14
[M1-1-3], 0, 36
[M2-3-2], 3, 38
[M1-1-4], 0, 40
[M2-4-2], 4, 16
[M1-1-5], 0, 44
[M2-5-2], 4, 40
[M3-1-2], 4, 16
[M1-2-0], 1, 2
[M2-0-0], 2, 4
[M1-2-1], 1, 6
[M2-1-0], 2, 28
[M1-2-2], 1, 10
[M2-2-0], 3, 6
[M1-2-3], 1, 14
[M2-3-0], 3, 30
[M1-2-4], 1, 18
[M2-4-0], 4, 8
[M1-2-5], 1, 22
[M2-5-0], 4, 32
[M3-2-0], 4, 32
[M1-2-0], 1, 2
[M2-0-1], 2, 8
[M1-2-1], 1, 6
[M2-1-1], 2, 32
[M1-2-2], 1, 10
[M2-2-1], 3, 10
[M1-2-3], 1, 14
[M2-3-1], 3, 34
[M1-2-4], 1, 18
[M2-4-1], 4, 12
[M1-2-5], 1, 22
[M2-5-1], 4, 36
[M3-2-1], 4, 36
[M1-2-0], 1, 2
[M2-0-2], 2, 12
[M1-2-1], 1, 6
[M2-1-2], 2, 36
[M1-2-2], 1, 10
[M2-2-2], 3, 14
[M1-2-3], 1, 14
[M2-3-2], 3, 38
[M1-2-4], 1, 18
[M2-4-2], 4, 16
[M1-2-5], 1, 22
[M2-5-2], 4, 40
[M3-2-2], 4, 40
[M1-3-0], 1, 26
[M2-0-0], 2, 4
[M1-3-1], 1, 30
[M2-1-0], 2, 28
[M1-3-2], 1, 34
[M2-2-0], 3, 6
[M1-3-3], 1, 38
[M2-3-0], 3, 30
[M1-3-4], 1, 42
[M2-4-0], 4, 8
[M1-3-5], 2, 0
[M2-5-0], 4, 32
[M3-3-0], 5, 10
[M1-3-0], 1, 26
[M2-0-1], 2, 8
[M1-3-1], 1, 30
[M2-1-1], 2, 32
[M1-3-2], 1, 34
[M2-2-1], 3, 10
[M1-3-3], 1, 38
[M2-3-1], 3, 34
[M1-3-4], 1, 42
[M2-4-1], 4, 12
[M1-3-5], 2, 0
[M2-5-1], 4, 36
[M3-3-1], 5, 14
[M1-3-0], 1, 26
[M2-0-2], 2, 12
[M1-3-1], 1, 30
[M2-1-2], 2, 36
[M1-3-2], 1, 34
[M2-2-2], 3, 14
[M1-3-3], 1, 38
[M2-3-2], 3, 38
[M1-3-4], 1, 42
[M2-4-2], 4, 16
[M1-3-5], 2, 0
[M2-5-2], 4, 40
[M3-3-2], 5, 18
